word,sentiment
disterilkan,positive
distimulasi,positive
disubsidi,positive
disucikan,positive
disukai,positive
disukseskan,positive
disyukuri,positive
ditaati,positive
ditabahkan,positive
ditauladani,positive
ditekuni,positive
diteladani,positive
ditenangkan,positive
ditenteramkan,positive
ditentramkan,positive
ditepati,positive
diterangi,positive
diterima,positive
ditertibkan,positive
ditindaklanjuti,positive
ditolong,positive
dituntun,positive
diunggulkan,positive
diuntungkan,positive
diupayakan,positive
diusahakan,positive
diutamakan,positive
doakan,positive
donasi,positive
donatur,positive
donor,positive
dorong,positive
dukungan,positive
dzikir,positive
edukasi,positive
edukatif,positive
efektif,positive
efisien,positive
ekonomis,positive
ekspres,positive
elegan,positive
elite,positive
elok,positive
eloknya,positive
empati,positive
enak,positive
enak-enak,positive
enteng,positive
esensial,positive
estetik,positive
estetis,positive
etis,positive
evaluasi,positive
faedah,positive
fakta,positive
faktual,positive
fantastis,positive
fasih,positive
favorit,positive
fenomenal,positive
final,positive
fitrah,positive
gagah,positive
gampang,positive
ganteng,positive
gapai,positive
gegap gempita,positive
gemilang,positive
genius,positive
genjot,positive
giat,positive
gigih,positive
gilang-gemilang,positive
gotong-royong,positive
gratis,positive
gunanya,positive
hadiah,positive
hak mutlak,positive
hakikat,positive
hakiki,positive
halal,positive
halal bihalal,positive
halalbihalal,positive
handal,positive
happy,positive
harapan,positive
harapkan,positive
harmoni,positive
harmonis,positive
harmonisasi,positive
hebat,positive
heroik,positive
hibah,positive
hibur,positive
hidayah,positive
hidmat,positive
hidup,positive
higienis,positive
hikmah,positive
hits,positive
hoki,positive
hore,positive
hormat,positive
hormat-menghormati,positive
hormati,positive
humoris,positive
husnul khatimah,positive
ibadah,positive
ideal,positive
ihsan,positive
ihtiar,positive
ijtihad,positive
ikhlas,positive
ikhtiar,positive
iktikad,positive
ilmiah,positive
iman,positive
impresif,positive
imut-imut,positive
indah,positive
informatif,positive
inisiatif,positive
inovasi,positive
inovatif,positive
inovator,positive
insaf,positive
insan,positive
insan kamil,positive
insentif,positive
inspirasi,positive
insya allah,positive
integritas,positive
intelek,positive
intelektual,positive
inteligensi,positive
inteligensia,positive
intensif,positive
irit,positive
islami,positive
istikharah,positive
istimewa,positive
istiqamah,positive
itikad,positive
itikaf,positive
izin,positive
jago,positive
jagoan,positive
jangan dulu,positive
jawaban,positive
jelas,positive
jelaskan,positive
jempolan,positive
jenius,positive
juara,positive
jujur,positive
kagum,positive
kaji,positive
kamil,positive
kampiun,positive
kapabel,positive
karib,positive
karisma,positive
karismatik,positive
karunia,positive
kasih,positive
keakraban,positive
keanggunan,positive
kebaikan,positive
kebajikan,positive
kebanggaan,positive
kebenaran,positive
keberhasilan,positive
kebersamaan,positive
keberuntungan,positive
kebulatan suara,positive
kebulatan tekad,positive
kecakapan,positive
kecekatan,positive
kecemerlangan,positive
keelokan,positive
kegemilangan,positive
kegeniusan,positive
kegigihan,positive
kehebatan,positive
kehormatan,positive
keikhlasan,positive
keindahan,positive
keistimewaan,positive
kejayaan,positive
kejelasan,positive
kejeniusan,positive
kejujuran,positive
kekaguman,positive
kekeluargaan,positive
kekhidmatan,positive
kekhusukan,positive
kekhusyukan,positive
kelancaran,positive
kelapangan,positive
kelebihan,positive
kelembutan,positive
kelezatan,positive
kemajuan,positive
kemakmuran,positive
kemampuan,positive
kemandirian,positive
kemantapan,positive
kemenangan,positive
kemeriahan,positive
kemudahan,positive
kemuliaan,positive
kenikmatan,positive
kenyamanan,positive
kepedulian,positive
kepercayaan,positive
keramahan,positive
keren,positive
keridaan,positive
keridhaan,positive
keridhoan,positive
keridoan,positive
kerja,positive
kerukunan,positive
kesabaran,positive
kesanggupan,positive
keselarasan,positive
kesepakatan,positive
kesesuaian,positive
keshalehan,positive
kesinambungan,positive
kesopanan,positive
kesuksesan,positive
ketaatan,positive
ketabahan,positive
ketawakalan,positive
ketegarab,positive
ketekunan,positive
keteladanan,positive
ketenangan,positive
ketentraman,positive
keterbukaan,positive
ketertiban,positive
keunggulan,positive
keuntungan,positive
kewajiban,positive
kewenangan,positive
keyakinan,positive
kharisma,positive
kharismatik,positive
khidmat,positive
khusyuk,positive
klarifikasi,positive
kokoh,positive
kolaborasi,positive
komersial,positive
komfortabel,positive
komitmen,positive
kompak,positive
kompatibel,positive
kompeten,positive
kompetensi,positive
komplet,positive
komprehensif,positive
komunikasi,positive
komunikatif,positive
kondusif,positive
konfirmasi,positive
konform,positive
konkret,positive
konsisten,positive
konsistensi,positive
konstan,positive
kontinu,positive
kooperatif,positive
koordinasi,positive
kreasi,positive
kreatif,positive
kreativitas,positive
kuat,positive
lailatul kadar,positive
lailatul qadar,positive
lailatulkadar,positive
lailatulqadar,positive
lancar,positive
langgeng,positive
langsing,positive
laporkan,positive
layak,positive
lega,positive
legal,positive
legendaris,positive
leluasa,positive
lembut,positive
lerai,positive
lezat,positive
lincah,positive
logis,positive
lolos,positive
loyal,positive
loyalitas,positive
luar biasa,positive
lucu,positive
luhur,positive
lulus,positive
lunas,positive
luwes,positive
mabrur,positive
mahir,positive
maju,positive
makan,positive
makmur,positive
mampu,positive
mandiri,positive
manfaat,positive
manjur,positive
mantap,positive
masuk akal,positive
masukan,positive
masyhur,positive
megah,positive
melancarkan,positive
melanggengkan,positive
melapangkan,positive
melaporkan,positive
melegakan,positive
melerai,positive
meleraikan,positive
melestarikan,positive
melezatkan,positive
melindungi,positive
meluhurkan,positive
melunasi,positive
meluruskan,positive
memaafkan,positive
memadai,positive
memahami,positive
memajukan,positive
memakmurkan,positive
memantapkan,positive
mematuhi,positive
membaguskan,positive
membahagiakan,positive
membaik,positive
membalas budi,positive
membanggakan,positive
membangkitkan,positive
membangun,positive
membantu,positive
membawa revolusi,positive
membenahi,positive
memberbaiki,positive
memberdayakan,positive
memberi kesempatan,positive
memberikan kesempatan,positive
membesarkan,positive
membetulkan,positive
membulatkan hati,positive
membulatkan tekad,positive
memenagkan,positive
memenangkan,positive
memenuhi,positive
memenuhi persyaratan,positive
memerdekakan,positive
memopulerkan,positive
memotivasi,positive
memperaman,positive
memperbagus,positive
memperbaiki,positive
memperbantukan,positive
memperbarui,positive
mempercanggih,positive
mempercantik,positive
mempercerdas,positive
memperdamai,positive
mempererat,positive
memperhatikan,positive
memperindah,positive
memperlancar,positive
memperlapang,positive
mempermudah,positive
mempersatukan,positive
mempersiapkan,positive
mempersolid,positive
mempersukses,positive
mempertampan,positive
mempertemukan,positive
mempertimbangkan,positive
memuaskan,positive
memudahkan,positive
memuji,positive
memukau,positive
memuliakan,positive
memulihkan,positive
memurnikan,positive
memusyawarahkan,positive
menaati,positive
menakjubkan,positive
menang,positive
menarik,positive
menauladani,positive
mencerahkan,positive
mencerdaskan,positive
menceriakan,positive
mendamaikan,positive
mendapat tempat,positive
mendayagunakan,positive
mendayaupayakan,positive
mendonasikan,positive
mendonorkan,positive
mendorong,positive
mendukung,positive
menegakkan,positive
meneladani,positive
menenangkan,positive
menengahi,positive
menentramkan,positive
menepati,positive
menerima,positive
menertibkan,positive
menetapkan,positive
mengagumi,positive
mengagumkan,positive
mengakrabkan,positive
mengakurkan,positive
mengamankan,positive
mengandalkan,positive
menganjurkan,positive
mengantisipasi,positive
menganugerahi,positive
menganugrahi,positive
menganugrahkan,positive
mengasah,positive
mengedukasi,positive
mengedukasikan,positive
mengefektifkan,positive
mengerti,positive
menggalakkan,positive
menggapai,positive
menggenjotkan,positive
menggiatkan,positive
menggugah,positive
menghadiahkan,positive
menghadiri,positive
menghargai,positive
mengharmoniskan,positive
mengharu biru,positive
mengharukan,positive
mengharumkan,positive
menghayati,positive
menghemat,positive
menghentikan,positive
menghibur,positive
menghijaukan,positive
menghormati,positive
mengilhami,positive
mengimbangi,positive
mengingatkan,positive
menginovasikan,positive
menginsafi,positive
menginsafkan,positive
menginspirasi,positive
menginspirasikan,positive
mengisi,positive
mengokohkan,positive
mengoptimalkan,positive
mengukuhkan,positive
mengulurkan tangan,positive
mengungguli,positive
mengungkap,positive
mengungkap kasus,positive
menguntungkan,positive
mengupayakan,positive
mengusahakan,positive
menimba ilmu,positive
menindak,positive
menindaklanjuti,positive
meningkat,positive
meningkatkan,positive
menjadi sama,positive
menjaga,positive
menjaring,positive
menjawab,positive
menjembatani,positive
menjernihkan,positive
menjinakkan,positive
menjiwai,positive
menolong,positive
menstabilkan,positive
mensucikan,positive
mensyukuri,positive
mentaati,positive
menunaikan,positive
menunjang,positive
menuntun,positive
menyadari,positive
menyadarkan,positive
menyayangi,positive
menyeimbangkan,positive
menyelamatkan,positive
menyelaraskan,positive
menyelesaikan,positive
menyesuaikan,positive
menyetujui,positive
menyinergikan,positive
menyingkronkan,positive
menyingsingkan,positive
menyinkronkan,positive
menyucikan,positive
menyukai,positive
menyukseskan,positive
merahmati,positive
meraih,positive
merampungkan,positive
merangkul,positive
merapihkan,positive
merapikan,positive
merawat,positive
merdu,positive
meremajakan,positive
merenungi,positive
merenungkan,positive
merestui,positive
meriah,positive
meridai,positive
meridhai,positive
meridhoi,positive
meridoi,positive
meringankan,positive
merohmati,positive
merukunkan,positive
momentum,positive
motivasi,positive
mudah,positive
mudah-mudahan,positive
mufakat,positive
mujarab,positive
mujur,positive
mulia,positive
multi fungsi,positive
multi guna,positive
multifungsi,positive
multiguna,positive
mulus,positive
mumpuni,positive
murah,positive
murni,positive
mustajab,positive
musyawarah,positive
mutakhir,positive
naik,positive
ngetop,positive
ngetren,positive
nikmat,positive
nilai tambah,positive
nomor wahid,positive
normal,positive
nyaman,positive
objektif,positive
obyektif,positive
ok,positive
optimal,positive
optimis,positive
optimisme,positive
optimistis,positive
orisinal,positive
orisinalitas,positive
orisinil,positive
pahlawan,positive
pakar,positive
pandai,positive
pantas,positive
panutan,positive
patroli,positive
patuh,positive
peduli,positive
pegangan,positive
pejuang,positive
pekerti,positive
pelancaran,positive
pelayanan,positive
peleraian,positive
pelestarian,positive
pelipur,positive
pemaaf,positive
pemantapan,positive
pembangunan negara,positive
pembangunan umat,positive
pembaruan,positive
pembenahan,positive
pemberdayaan,positive
pembulatan tekad,positive
pemeriksaan,positive
pemersatu,positive
pemersatuan,positive
pencari ilmu,positive
pencarian,positive
pencerahan,positive
pendidik,positive
pendonasian,positive
pendonor,positive
penegakan,positive
penemu,positive
penengah,positive
penerang,positive
pengampunan,positive
pengantisipasian,positive
penganugerahan,positive
pengembangan,positive
pengertian,positive
penggalakan,positive
penggiatan,positive
penggugah,positive
penghargaan,positive
penghijauan,positive
pengoptimalan,positive
peningkatan,positive
penjelasan,positive
penjernihan,positive
penolong,positive
penstabilan,positive
penting,positive
penuntun,positive
penurut,positive
penyabar,positive
penyantun,positive
penyantunan,positive
penyatuan,positive
penyayang,positive
penyuksesan,positive
peran kunci,positive
perbaikan,positive
percaya,positive
perdamaian,positive
perhatian,positive
perkembangan,positive
persahabatan,positive
persaudaraan,positive
pertaubatan,positive
pertobatan,positive
pertolongan,positive
pertumbuhan,positive
perundingan,positive
petunjuk,positive
pintar,positive
populer,positive
positif,positive
potensi,positive
potensial,positive
praktis,positive
preseden,positive
presisi,positive
prestasi,positive
prestise,positive
prestisius,positive
prima,positive
primadona,positive
prioritas,positive
proaktif,positive
produktif,positive
profesional,positive
profit,positive
proporsional,positive
prospektif,positive
proteksi,positive
puas,positive
pulih,positive
rahman,positive
rahmat,positive
rajin,positive
ramah,positive
ramah tamah,positive
rampung,positive
rapi,positive
rapih,positive
rasional,positive
rasul,positive
realistis,positive
reformasi,positive
rekonsiliasi,positive
relawan,positive
relevan,positive
relevansi,positive
relevansinya,positive
reliabel,positive
renungan,positive
resmi,positive
responsif,positive
revolusioner,positive
rezeki,positive
riang,positive
rida,positive
ridha,positive
ridho,positive
rido,positive
rileks,positive
riset,positive
rohmat,positive
rukun,positive
rupawan,positive
sabar,positive
sadar,positive
sakinah,positive
saksama,positive
saleh,positive
salehah,positive
saling tegur,positive
salut,positive
sanggup,positive
santun,positive
satu padu,positive
sayang,positive
sebaik-baiknya,positive
sebesar mungkin,positive
secepatnya,positive
seefektif,positive
seimbang,positive
sejalan,positive
selamat,positive
selaras,positive
selesai,positive
selesaikan,positive
semangat,positive
semoga,positive
senang,positive
serius,positive
sesuai,positive
setuju,positive
shaleh,positive
shalehah,positive
shalihah,positive
sholeh,positive
siap,positive
silahkan,positive
silaturahmi,positive
